#Data Set Export - Rainfall.Continuous@A64871M,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1890-02-11 00:00:00,0.76,200,5,
1890-02-15 00:00:00,0,200,5,
1890-02-16 00:00:00,0.51,200,5,
1890-02-23 00:00:00,0,200,5,
1890-02-28 00:00:00,0,200,5,
1890-03-01 00:00:00,0.51,200,5,
1890-03-02 00:00:00,3.81,200,5,
1890-03-09 00:00:00,0,200,5,
1890-03-14 00:00:00,0,200,5,
1890-03-15 00:00:00,10.41,200,5,
1890-03-21 00:00:00,0,200,5,
1890-03-22 00:00:00,2.03,200,5,
1890-03-23 00:00:00,26.42,200,5,
1890-03-24 00:00:00,0,200,5,
1890-03-25 00:00:00,1.02,200,5,
1890-03-29 00:00:00,0,200,5,
1890-03-30 00:00:00,11.68,200,5,
1890-03-31 00:00:00,8.38,200,5,
1890-04-01 00:00:00,2.79,200,5,
1890-04-02 00:00:00,1.52,200,5,
1890-04-04 00:00:00,0,200,5,
1890-04-05 00:00:00,3.3,200,5,
1890-04-06 00:00:00,1.27,200,5,
1890-04-08 00:00:00,0,200,5,
1890-04-09 00:00:00,13.72,200,5,
1890-04-10 00:00:00,16.51,200,5,
1890-04-11 00:00:00,19.05,200,5,
1890-04-12 00:00:00,2.79,200,5,
1890-04-13 00:00:00,6.86,200,5,
1890-04-14 00:00:00,2.79,200,5,
1890-04-15 00:00:00,25.91,200,5,
1890-04-16 00:00:00,29.21,200,5,
1890-04-17 00:00:00,7.62,200,5,
1890-04-18 00:00:00,2.79,200,5,
1890-04-19 00:00:00,5.33,200,5,
1890-04-20 00:00:00,0.51,200,5,
1890-04-21 00:00:00,0.25,200,5,
1890-04-22 00:00:00,0.25,200,5,
1890-04-23 00:00:00,0.51,200,5,
1890-04-30 00:00:00,0,200,5,
1890-05-02 00:00:00,0,200,5,
1890-05-03 00:00:00,0.76,200,5,
1890-05-04 00:00:00,0.25,200,5,
1890-05-05 00:00:00,19.05,200,5,
1890-05-06 00:00:00,6.35,200,5,
1890-05-07 00:00:00,1.27,200,5,
1890-05-08 00:00:00,2.54,200,5,
1890-05-09 00:00:00,1.02,200,5,
1890-05-10 00:00:00,0.25,200,5,
1890-05-11 00:00:00,9.91,200,5,
1890-05-12 00:00:00,13.97,200,5,
1890-05-17 00:00:00,0,200,5,
1890-05-18 00:00:00,2.54,200,5,
1890-05-19 00:00:00,2.03,200,5,
1890-05-20 00:00:00,0.51,200,5,
1890-05-21 00:00:00,3.05,200,5,
1890-05-22 00:00:00,21.34,200,5,
1890-05-23 00:00:00,4.83,200,5,
1890-05-24 00:00:00,0.51,200,5,
1890-05-29 00:00:00,0,200,5,
1890-05-30 00:00:00,1.27,200,5,
1890-05-31 00:00:00,8.38,200,5,
1890-06-01 00:00:00,10.16,200,5,
1890-06-02 00:00:00,5.33,200,5,
1890-06-07 00:00:00,0,200,5,
1890-06-08 00:00:00,0.51,200,5,
1890-06-09 00:00:00,0.25,200,5,
1890-06-10 00:00:00,0,200,5,
1890-06-11 00:00:00,3.81,200,5,
1890-06-12 00:00:00,10.41,200,5,
1890-06-14 00:00:00,0,200,5,
1890-06-15 00:00:00,3.05,200,5,
1890-06-16 00:00:00,5.08,200,5,
1890-06-17 00:00:00,4.57,200,5,
1890-06-18 00:00:00,0,200,5,
1890-06-19 00:00:00,0.25,200,5,
1890-06-20 00:00:00,23.88,200,5,
1890-06-21 00:00:00,0,200,5,
1890-06-22 00:00:00,0.25,200,5,
1890-06-23 00:00:00,0.76,200,5,
1890-06-25 00:00:00,0,200,5,
1890-06-26 00:00:00,28.19,200,5,
1890-06-27 00:00:00,1.78,200,5,
1890-06-29 00:00:00,0,200,5,
1890-06-30 00:00:00,0.51,200,5,
1890-07-01 00:00:00,6.35,200,5,
1890-07-02 00:00:00,1.27,200,5,
1890-07-03 00:00:00,19.05,200,5,
1890-07-04 00:00:00,0,200,5,
1890-07-05 00:00:00,0.76,200,5,
1890-07-06 00:00:00,0.76,200,5,
1890-07-07 00:00:00,8.89,200,5,
1890-07-08 00:00:00,7.62,200,5,
1890-07-09 00:00:00,1.27,200,5,
1890-07-10 00:00:00,5.33,200,5,
1890-07-11 00:00:00,1.78,200,5,
1890-07-12 00:00:00,0.51,200,5,
1890-07-13 00:00:00,4.06,200,5,
1890-07-14 00:00:00,12.7,200,5,
1890-07-15 00:00:00,2.79,200,5,
1890-07-16 00:00:00,6.6,200,5,
1890-07-17 00:00:00,0.25,200,5,
1890-07-18 00:00:00,2.79,200,5,
1890-07-19 00:00:00,7.62,200,5,
1890-07-20 00:00:00,3.3,200,5,
1890-07-21 00:00:00,4.57,200,5,
1890-07-22 00:00:00,0.51,200,5,
1890-07-23 00:00:00,1.27,200,5,
1890-07-25 00:00:00,0,200,5,
1890-07-26 00:00:00,6.6,200,5,
1890-07-27 00:00:00,19.05,200,5,
1890-07-28 00:00:00,6.35,200,5,
1890-07-29 00:00:00,2.79,200,5,
1890-07-30 00:00:00,2.54,200,5,
1890-07-31 00:00:00,0.51,200,5,
1890-08-01 00:00:00,0.25,200,5,
1890-08-02 00:00:00,0,200,5,
1890-08-03 00:00:00,0.76,200,5,
1890-08-04 00:00:00,1.78,200,5,
1890-08-05 00:00:00,21.59,200,5,
1890-08-06 00:00:00,3.05,200,5,
1890-08-07 00:00:00,0.76,200,5,
1890-08-10 00:00:00,0,200,5,
1890-08-11 00:00:00,6.35,200,5,
1890-08-12 00:00:00,7.62,200,5,
1890-08-13 00:00:00,10.16,200,5,
1890-08-14 00:00:00,6.86,200,5,
1890-08-17 00:00:00,0,200,5,
1890-08-18 00:00:00,2.54,200,5,
1890-08-19 00:00:00,1.78,200,5,
1890-08-20 00:00:00,12.95,200,5,
1890-08-21 00:00:00,13.46,200,5,
1890-08-22 00:00:00,0.51,200,5,
1890-08-23 00:00:00,13.46,200,5,
1890-08-24 00:00:00,0,200,5,
1890-08-25 00:00:00,1.27,200,5,
1890-08-26 00:00:00,0.76,200,5,
1890-08-30 00:00:00,0,200,5,
1890-08-31 00:00:00,7.11,200,5,
1890-09-03 00:00:00,0,200,5,
1890-09-04 00:00:00,13.21,200,5,
1890-09-05 00:00:00,1.27,200,5,
1890-09-11 00:00:00,0,200,5,
1890-09-12 00:00:00,5.59,200,5,
1890-09-13 00:00:00,11.18,200,5,
1890-09-14 00:00:00,0.25,200,5,
1890-09-15 00:00:00,5.84,200,5,
1890-09-16 00:00:00,3.05,200,5,
1890-09-17 00:00:00,0.76,200,5,
1890-09-18 00:00:00,11.43,200,5,
1890-09-19 00:00:00,8.89,200,5,
1890-09-20 00:00:00,1.78,200,5,
1890-09-21 00:00:00,0.25,200,5,
1890-09-22 00:00:00,11.43,200,5,
1890-09-23 00:00:00,4.06,200,5,
1890-09-27 00:00:00,0,200,5,
1890-09-28 00:00:00,3.81,200,5,
1890-09-29 00:00:00,4.32,200,5,
1890-09-30 00:00:00,0,200,5,
1890-10-01 00:00:00,3.05,200,5,
1890-10-02 00:00:00,10.92,200,5,
1890-10-03 00:00:00,0,200,5,
1890-10-04 00:00:00,5.08,200,5,
1890-10-05 00:00:00,0.76,200,5,
1890-10-12 00:00:00,0,200,5,
1890-10-13 00:00:00,0.76,200,5,
1890-10-14 00:00:00,0.25,200,5,
1890-10-15 00:00:00,0.25,200,5,
1890-10-16 00:00:00,0,200,5,
1890-10-17 00:00:00,1.27,200,5,
1890-10-18 00:00:00,22.1,200,5,
1890-10-19 00:00:00,14.73,200,5,
1890-10-20 00:00:00,6.35,200,5,
1890-10-21 00:00:00,3.81,200,5,
1890-10-22 00:00:00,63.75,200,5,
1890-10-23 00:00:00,29.97,200,5,
1890-10-24 00:00:00,30.99,200,5,
1890-10-25 00:00:00,1.27,200,5,
1890-10-26 00:00:00,0.25,200,5,
1890-10-27 00:00:00,55.88,200,5,
1890-10-28 00:00:00,6.1,200,5,
1890-10-29 00:00:00,4.32,200,5,
1890-10-30 00:00:00,0.76,200,5,
1890-11-01 00:00:00,0,200,5,
1890-11-02 00:00:00,1.27,200,5,
1890-11-03 00:00:00,0,200,5,
1890-11-04 00:00:00,0.51,200,5,
1890-11-05 00:00:00,5.08,200,5,
1890-11-06 00:00:00,4.06,200,5,
1890-11-09 00:00:00,0,200,5,
1890-11-10 00:00:00,2.54,200,5,
1890-11-11 00:00:00,15.75,200,5,
1890-11-13 00:00:00,0,200,5,
1890-11-14 00:00:00,18.8,200,5,
1890-11-20 00:00:00,0,200,5,
1890-11-21 00:00:00,7.37,200,5,
1890-11-24 00:00:00,0,200,5,
1890-11-25 00:00:00,25.4,200,5,
1890-11-26 00:00:00,0,200,5,
1890-11-27 00:00:00,0.76,200,5,
1890-11-28 00:00:00,3.3,200,5,
1890-11-29 00:00:00,3.56,200,5,
1890-12-02 00:00:00,0,200,5,
1890-12-03 00:00:00,3.81,200,5,
1890-12-04 00:00:00,1.02,200,5,
1890-12-05 00:00:00,0.51,200,5,
1890-12-12 00:00:00,0,200,5,
1890-12-14 00:00:00,0,200,5,
1890-12-15 00:00:00,1.78,200,5,
1890-12-18 00:00:00,0,200,5,
1890-12-19 00:00:00,9.65,200,5,
1890-12-20 00:00:00,6.35,200,5,
1890-12-27 00:00:00,0,200,5,
1890-12-28 00:00:00,0,200,5,
1890-12-29 00:00:00,8.89,200,5,
1890-12-30 00:00:00,15.24,200,5,
1890-12-31 00:00:00,0.51,200,5,
1891-01-01 00:00:00,2.54,200,5,
1891-01-02 00:00:00,6.35,200,5,
1891-01-03 00:00:00,5.08,200,5,
1891-01-04 00:00:00,1.27,200,5,
1891-01-05 00:00:00,1.27,200,5,
1891-01-12 00:00:00,0,200,5,
1891-01-15 00:00:00,0,200,5,
1891-01-16 00:00:00,1.27,200,5,
1891-01-17 00:00:00,18.29,200,5,
1891-01-21 00:00:00,0,200,5,
1891-01-22 00:00:00,2.54,200,5,
1891-01-25 00:00:00,0,200,5,
1891-01-26 00:00:00,0.76,200,5,
1891-01-27 00:00:00,5.33,200,5,
1891-01-28 00:00:00,11.43,200,5,
1891-01-29 00:00:00,0,200,5,
1891-01-30 00:00:00,1.27,200,5,
1891-02-01 00:00:00,0,200,5,
1891-02-02 00:00:00,20.57,200,5,
1891-02-03 00:00:00,14.22,200,5,
1891-02-04 00:00:00,0,200,5,
1891-02-05 00:00:00,0.51,200,5,
1891-02-12 00:00:00,0,200,5,
1891-02-13 00:00:00,53.85,200,5,
1891-02-14 00:00:00,11.43,200,5,
1891-02-15 00:00:00,0,200,5,
1891-02-16 00:00:00,7.11,200,5,
1891-02-17 00:00:00,4.57,200,5,
1891-02-22 00:00:00,0,200,5,
1891-02-23 00:00:00,102.11,200,5,
1891-02-24 00:00:00,14.73,200,5,
1891-02-27 00:00:00,0,200,5,
1891-02-28 00:00:00,3.81,200,5,
1891-03-01 00:00:00,0,200,5,
1891-03-02 00:00:00,2.03,200,5,
1891-03-03 00:00:00,3.56,200,5,
1891-03-05 00:00:00,0,200,5,
1891-03-06 00:00:00,0.76,200,5,
1891-03-07 00:00:00,2.54,200,5,
1891-03-14 00:00:00,0,200,5,
1891-03-18 00:00:00,0,200,5,
1891-03-19 00:00:00,0.51,200,5,
1891-03-20 00:00:00,12.19,200,5,
1891-03-21 00:00:00,3.81,200,5,
1891-03-22 00:00:00,2.54,200,5,
1891-03-23 00:00:00,2.29,200,5,
1891-03-24 00:00:00,1.52,200,5,
1891-03-25 00:00:00,5.33,200,5,
1891-03-26 00:00:00,2.03,200,5,
1891-03-27 00:00:00,0.76,200,5,
1891-04-03 00:00:00,0,200,5,
1891-04-04 00:00:00,0,200,5,
1891-04-05 00:00:00,37.08,200,5,
1891-04-06 00:00:00,0,200,5,
1891-04-07 00:00:00,5.59,200,5,
1891-04-08 00:00:00,0,200,5,
1891-04-09 00:00:00,1.78,200,5,
1891-04-10 00:00:00,11.43,200,5,
1891-04-11 00:00:00,0.76,200,5,
1891-04-12 00:00:00,0.25,200,5,
1891-04-14 00:00:00,0,200,5,
1891-04-15 00:00:00,2.54,200,5,
1891-04-16 00:00:00,0.76,200,5,
1891-04-18 00:00:00,0,200,5,
1891-04-19 00:00:00,9.65,200,5,
1891-04-20 00:00:00,2.54,200,5,
1891-04-25 00:00:00,0,200,5,
1891-04-26 00:00:00,0.76,200,5,
1891-04-27 00:00:00,0,200,5,
1891-04-28 00:00:00,4.06,200,5,
1891-04-29 00:00:00,0.76,200,5,
1891-04-30 00:00:00,10.41,200,5,
1891-05-01 00:00:00,3.81,200,5,
1891-05-02 00:00:00,1.02,200,5,
1891-05-03 00:00:00,0,200,5,
1891-05-04 00:00:00,2.03,200,5,
1891-05-09 00:00:00,0,200,5,
1891-05-10 00:00:00,0.25,200,5,
1891-05-11 00:00:00,0,200,5,
1891-05-12 00:00:00,6.35,200,5,
1891-05-13 00:00:00,26.67,200,5,
1891-05-14 00:00:00,1.02,200,5,
1891-05-15 00:00:00,0,200,5,
1891-05-16 00:00:00,6.35,200,5,
1891-05-17 00:00:00,18.54,200,5,
1891-05-20 00:00:00,0,200,5,
1891-05-21 00:00:00,8.13,200,5,
1891-05-22 00:00:00,9.14,200,5,
1891-05-23 00:00:00,1.27,200,5,
1891-05-24 00:00:00,0.76,200,5,
1891-05-25 00:00:00,3.05,200,5,
1891-05-26 00:00:00,0.25,200,5,
1891-05-27 00:00:00,0,200,5,
1891-05-28 00:00:00,1.78,200,5,
1891-06-01 00:00:00,0,200,5,
1891-06-02 00:00:00,2.29,200,5,
1891-06-03 00:00:00,4.06,200,5,
1891-06-04 00:00:00,6.35,200,5,
1891-06-05 00:00:00,2.54,200,5,
1891-06-06 00:00:00,0.51,200,5,
1891-06-07 00:00:00,5.08,200,5,
1891-06-08 00:00:00,7.62,200,5,
1891-06-09 00:00:00,6.6,200,5,
1891-06-10 00:00:00,0.76,200,5,
1891-06-17 00:00:00,0,200,5,
1891-06-21 00:00:00,0,200,5,
1891-06-22 00:00:00,1.52,200,5,
1891-06-29 00:00:00,0,200,5,
1891-07-01 00:00:00,0,200,5,
1891-07-02 00:00:00,5.08,200,5,
1891-07-03 00:00:00,6.35,200,5,
1891-07-04 00:00:00,0.25,200,5,
1891-07-05 00:00:00,62.48,200,5,
1891-07-12 00:00:00,0,200,5,
1891-07-14 00:00:00,0,200,5,
1891-07-15 00:00:00,6.35,200,5,
1891-07-16 00:00:00,0,200,5,
1891-07-17 00:00:00,13.97,200,5,
1891-07-18 00:00:00,2.03,200,5,
1891-07-19 00:00:00,0.25,200,5,
1891-07-20 00:00:00,14.73,200,5,
1891-07-21 00:00:00,1.52,200,5,
1891-07-22 00:00:00,5.08,200,5,
1891-07-23 00:00:00,5.33,200,5,
1891-07-26 00:00:00,0,200,5,
1891-07-27 00:00:00,0.25,200,5,
1891-07-28 00:00:00,0,200,5,
1891-07-29 00:00:00,0.25,200,5,
1891-07-30 00:00:00,5.08,200,5,
1891-07-31 00:00:00,0,200,5,
1891-08-01 00:00:00,3.81,200,5,
1891-08-02 00:00:00,0,200,5,
1891-08-03 00:00:00,1.02,200,5,
1891-08-04 00:00:00,0.51,200,5,
1891-08-05 00:00:00,0.25,200,5,
1891-08-06 00:00:00,2.54,200,5,
1891-08-07 00:00:00,0,200,5,
1891-08-08 00:00:00,1.02,200,5,
1891-08-09 00:00:00,2.54,200,5,
1891-08-10 00:00:00,0.51,200,5,
1891-08-11 00:00:00,1.27,200,5,
1891-08-12 00:00:00,0.76,200,5,
1891-08-16 00:00:00,0,200,5,
1891-08-17 00:00:00,0.25,200,5,
1891-08-18 00:00:00,9.65,200,5,
1891-08-19 00:00:00,2.79,200,5,
1891-08-20 00:00:00,0.76,200,5,
1891-08-21 00:00:00,6.6,200,5,
1891-08-22 00:00:00,2.54,200,5,
1891-08-23 00:00:00,3.3,200,5,
1891-08-24 00:00:00,0.51,200,5,
1891-08-25 00:00:00,0.25,200,5,
1891-08-26 00:00:00,0,200,5,
1891-08-27 00:00:00,0.51,200,5,
1891-08-28 00:00:00,21.59,200,5,
1891-08-29 00:00:00,0.25,200,5,
1891-08-30 00:00:00,0,200,5,
1891-08-31 00:00:00,1.78,200,5,
1891-09-07 00:00:00,0,200,5,
1891-09-10 00:00:00,0,200,5,
1891-09-11 00:00:00,1.02,200,5,
1891-09-12 00:00:00,0.25,200,5,
1891-09-13 00:00:00,1.27,200,5,
1891-09-14 00:00:00,0.51,200,5,
1891-09-15 00:00:00,0,200,5,
1891-09-16 00:00:00,21.84,200,5,
1891-09-17 00:00:00,0.76,200,5,
1891-09-21 00:00:00,0,200,5,
1891-09-22 00:00:00,5.08,200,5,
1891-09-23 00:00:00,0,200,5,
1891-09-24 00:00:00,8.64,200,5,
1891-09-25 00:00:00,2.54,200,5,
1891-09-26 00:00:00,0,200,5,
1891-09-27 00:00:00,1.52,200,5,
1891-09-28 00:00:00,5.33,200,5,
1891-09-29 00:00:00,0,200,5,
1891-09-30 00:00:00,0.51,200,5,
1891-10-01 00:00:00,0.51,200,5,
1891-10-03 00:00:00,0,200,5,
1891-10-04 00:00:00,2.54,200,5,
1891-10-07 00:00:00,0,200,5,
1891-10-08 00:00:00,19.05,200,5,
1891-10-09 00:00:00,0,200,5,
1891-10-10 00:00:00,4.57,200,5,
1891-10-11 00:00:00,1.27,200,5,
1891-10-15 00:00:00,0,200,5,
1891-10-16 00:00:00,4.57,200,5,
1891-10-17 00:00:00,0,200,5,
1891-10-18 00:00:00,7.62,200,5,
1891-10-19 00:00:00,1.27,200,5,
1891-10-20 00:00:00,22.1,200,5,
1891-10-21 00:00:00,0.51,200,5,
1891-10-22 00:00:00,0,200,5,
1891-10-23 00:00:00,3.3,200,5,
1891-10-25 00:00:00,0,200,5,
1891-10-26 00:00:00,0.25,200,5,
1891-11-02 00:00:00,0,200,5,
1891-11-04 00:00:00,0,200,5,
1891-11-05 00:00:00,4.57,200,5,
1891-11-08 00:00:00,0,200,5,
1891-11-09 00:00:00,0.76,200,5,
1891-11-10 00:00:00,3.81,200,5,
1891-11-11 00:00:00,3.81,200,5,
1891-11-12 00:00:00,5.08,200,5,
1891-11-14 00:00:00,0,200,5,
1891-11-15 00:00:00,8.89,200,5,
1891-11-16 00:00:00,9.4,200,5,
1891-11-17 00:00:00,0.25,200,5,
1891-11-24 00:00:00,0,200,5,
1891-11-25 00:00:00,0,200,5,
1891-11-26 00:00:00,0.25,200,5,
1891-12-01 00:00:00,0,200,5,
1891-12-02 00:00:00,3.3,200,5,
1891-12-09 00:00:00,0,200,5,
1891-12-13 00:00:00,0,200,5,
1891-12-14 00:00:00,3.05,200,5,
1891-12-15 00:00:00,0.51,200,5,
1891-12-16 00:00:00,0,200,5,
1891-12-17 00:00:00,16,200,5,
1891-12-19 00:00:00,0,200,5,
1891-12-20 00:00:00,0.51,200,5,
1891-12-27 00:00:00,0,200,5,
1891-12-28 00:00:00,0.51,200,5,
1892-01-02 00:00:00,0,200,5,
1892-01-03 00:00:00,2.79,200,5,
1892-01-04 00:00:00,0,200,5,
1892-01-05 00:00:00,5.08,200,5,
1892-01-06 00:00:00,8.13,200,5,
1892-01-07 00:00:00,4.06,200,5,
1892-01-08 00:00:00,1.78,200,5,
1892-01-15 00:00:00,0,200,5,
1892-01-19 00:00:00,0,200,5,
1892-01-20 00:00:00,4.06,200,5,
1892-01-21 00:00:00,3.3,200,5,
1892-01-25 00:00:00,0,200,5,
1892-01-26 00:00:00,11.43,200,5,
1892-01-27 00:00:00,48.51,200,5,
1892-02-01 00:00:00,0,200,5,
1892-02-02 00:00:00,1.52,200,5,
1892-02-05 00:00:00,0,200,5,
1892-02-06 00:00:00,0.76,200,5,
1892-02-07 00:00:00,0.51,200,5,
1892-02-08 00:00:00,0,200,5,
1892-02-09 00:00:00,3.81,200,5,
1892-02-10 00:00:00,11.68,200,5,
1892-02-11 00:00:00,0.76,200,5,
1892-02-12 00:00:00,3.81,200,5,
1892-02-13 00:00:00,0.51,200,5,
1892-02-14 00:00:00,0,200,5,
1892-02-15 00:00:00,11.43,200,5,
1892-02-16 00:00:00,1.02,200,5,
1892-02-19 00:00:00,0,200,5,
1892-02-20 00:00:00,1.52,200,5,
1892-02-21 00:00:00,27.18,200,5,
1892-02-22 00:00:00,2.54,200,5,
1892-02-29 00:00:00,0,200,5,
1892-03-07 00:00:00,0,200,5,
1892-03-14 00:00:00,0,200,5,
1892-03-17 00:00:00,0,200,5,
1892-03-18 00:00:00,11.68,200,5,
1892-03-19 00:00:00,6.86,200,5,
1892-03-20 00:00:00,1.27,200,5,
1892-03-21 00:00:00,6.86,200,5,
1892-03-22 00:00:00,1.27,200,5,
1892-03-23 00:00:00,2.03,200,5,
1892-03-24 00:00:00,8.89,200,5,
1892-03-31 00:00:00,0,200,5,
1892-04-02 00:00:00,0,200,5,
1892-04-03 00:00:00,0.76,200,5,
1892-04-10 00:00:00,0,200,5,
1892-04-11 00:00:00,0,200,5,
1892-04-12 00:00:00,5.59,200,5,
1892-04-13 00:00:00,0.76,200,5,
1892-04-14 00:00:00,2.79,200,5,
1892-04-15 00:00:00,26.42,200,5,
1892-04-16 00:00:00,0,200,5,
1892-04-17 00:00:00,0.51,200,5,
1892-04-18 00:00:00,1.78,200,5,
1892-04-19 00:00:00,2.79,200,5,
1892-04-21 00:00:00,0,200,5,
1892-04-22 00:00:00,4.32,200,5,
1892-04-23 00:00:00,0.51,200,5,
1892-04-24 00:00:00,0,200,5,
1892-04-25 00:00:00,0.76,200,5,
1892-04-27 00:00:00,0,200,5,
1892-04-28 00:00:00,4.32,200,5,
1892-05-02 00:00:00,0,200,5,
1892-05-03 00:00:00,0.51,200,5,
1892-05-04 00:00:00,0.25,200,5,
1892-05-06 00:00:00,0,200,5,
1892-05-07 00:00:00,1.78,200,5,
1892-05-08 00:00:00,2.54,200,5,
1892-05-09 00:00:00,1.27,200,5,
1892-05-11 00:00:00,0,200,5,
1892-05-12 00:00:00,1.27,200,5,
1892-05-14 00:00:00,0,200,5,
1892-05-15 00:00:00,8.64,200,5,
1892-05-16 00:00:00,0.76,200,5,
1892-05-17 00:00:00,0,200,5,
1892-05-18 00:00:00,2.03,200,5,
1892-05-20 00:00:00,0,200,5,
1892-05-21 00:00:00,13.46,200,5,
1892-05-23 00:00:00,0,200,5,
1892-05-24 00:00:00,5.59,200,5,
1892-05-25 00:00:00,35.56,200,5,
1892-05-26 00:00:00,3.56,200,5,
1892-05-27 00:00:00,1.02,200,5,
1892-05-28 00:00:00,0,200,5,
1892-05-29 00:00:00,0.51,200,5,
1892-06-03 00:00:00,0,200,5,
1892-06-04 00:00:00,0.25,200,5,
1892-06-05 00:00:00,15.49,200,5,
1892-06-06 00:00:00,15.75,200,5,
1892-06-07 00:00:00,0.51,200,5,
1892-06-09 00:00:00,0,200,5,
1892-06-10 00:00:00,6.6,200,5,
1892-06-11 00:00:00,33.53,200,5,
1892-06-12 00:00:00,0.51,200,5,
1892-06-13 00:00:00,5.33,200,5,
1892-06-14 00:00:00,9.4,200,5,
1892-06-15 00:00:00,6.1,200,5,
1892-06-16 00:00:00,2.79,200,5,
1892-06-19 00:00:00,0,200,5,
1892-06-20 00:00:00,2.79,200,5,
1892-06-21 00:00:00,0.25,200,5,
1892-06-22 00:00:00,6.6,200,5,
1892-06-23 00:00:00,0.51,200,5,
1892-06-25 00:00:00,0,200,5,
1892-06-26 00:00:00,1.27,200,5,
1892-06-27 00:00:00,11.94,200,5,
1892-06-28 00:00:00,0.76,200,5,
1892-06-29 00:00:00,0.51,200,5,
1892-06-30 00:00:00,2.54,200,5,
1892-07-01 00:00:00,4.83,200,5,
1892-07-02 00:00:00,0.25,200,5,
1892-07-03 00:00:00,4.83,200,5,
1892-07-04 00:00:00,10.92,200,5,
1892-07-05 00:00:00,0.76,200,5,
1892-07-09 00:00:00,0,200,5,
1892-07-10 00:00:00,4.57,200,5,
1892-07-11 00:00:00,17.27,200,5,
1892-07-12 00:00:00,13.72,200,5,
1892-07-13 00:00:00,7.11,200,5,
1892-07-14 00:00:00,3.81,200,5,
1892-07-18 00:00:00,0,200,5,
1892-07-19 00:00:00,0.76,200,5,
1892-07-20 00:00:00,16,200,5,
1892-07-21 00:00:00,12.19,200,5,
1892-07-22 00:00:00,22.1,200,5,
1892-07-23 00:00:00,6.86,200,5,
1892-07-24 00:00:00,4.32,200,5,
1892-07-25 00:00:00,1.27,200,5,
1892-07-26 00:00:00,0.51,200,5,
1892-08-02 00:00:00,0,200,5,
1892-08-05 00:00:00,0,200,5,
1892-08-06 00:00:00,0.76,200,5,
1892-08-07 00:00:00,1.27,200,5,
1892-08-08 00:00:00,17.78,200,5,
1892-08-09 00:00:00,3.81,200,5,
1892-08-10 00:00:00,1.02,200,5,
1892-08-15 00:00:00,0,200,5,
1892-08-16 00:00:00,0.76,200,5,
1892-08-17 00:00:00,13.72,200,5,
1892-08-18 00:00:00,2.79,200,5,
1892-08-19 00:00:00,0.76,200,5,
1892-08-20 00:00:00,0.51,200,5,
1892-08-21 00:00:00,0,200,5,
1892-08-22 00:00:00,0.51,200,5,
1892-08-23 00:00:00,13.21,200,5,
1892-08-24 00:00:00,2.29,200,5,
1892-08-25 00:00:00,10.41,200,5,
1892-08-26 00:00:00,6.6,200,5,
1892-08-27 00:00:00,10.41,200,5,
1892-08-28 00:00:00,0.25,200,5,
1892-08-29 00:00:00,12.19,200,5,
1892-08-30 00:00:00,10.16,200,5,
1892-08-31 00:00:00,0.76,200,5,
1892-09-01 00:00:00,0.25,200,5,
1892-09-02 00:00:00,6.6,200,5,
1892-09-03 00:00:00,5.59,200,5,
1892-09-04 00:00:00,2.29,200,5,
1892-09-08 00:00:00,0,200,5,
1892-09-09 00:00:00,0.25,200,5,
1892-09-10 00:00:00,9.4,200,5,
1892-09-11 00:00:00,0.76,200,5,
1892-09-12 00:00:00,0.25,200,5,
1892-09-13 00:00:00,1.27,200,5,
1892-09-16 00:00:00,0,200,5,
1892-09-17 00:00:00,2.29,200,5,
1892-09-18 00:00:00,0.25,200,5,
1892-09-19 00:00:00,0,200,5,
1892-09-20 00:00:00,6.86,200,5,
1892-09-21 00:00:00,6.86,200,5,
1892-09-22 00:00:00,3.81,200,5,
1892-09-23 00:00:00,3.3,200,5,
1892-09-24 00:00:00,0.76,200,5,
1892-09-25 00:00:00,0,200,5,
1892-09-26 00:00:00,0.25,200,5,
1892-09-27 00:00:00,7.37,200,5,
1892-09-28 00:00:00,16.51,200,5,
1892-09-29 00:00:00,9.4,200,5,
1892-09-30 00:00:00,6.86,200,5,
